Agent Name,Rating,Review Text,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Zepto,3.9,Missing items and no response from support.,55,Pune,Essentials,Negative,High,No,Out of Stock,2,Incorrect
Blinkit,3.6,"Delivery was on time, but tracking could improve.",34,Delhi,Electronics,Neutral,High,Yes,In Stock,4,Incorrect
JioMart,3.5,"Service was okay, nothing special.",30,Chennai,Pharmacy,Neutral,Medium,No,In Stock,3,Incorrect
Blinkit,1.5,"Received damaged goods, no refund offered.",47,Chennai,Essentials,Negative,High,No,In Stock,3,Correct
Swiggy Instamart,4.0,Food was cold and poorly packaged.,53,Bangalore,Food,Negative,Medium,Yes,Out of Stock,1,Incorrect
Blinkit,3.1,"Wrong order received, customer delivery was unhelpful.",51,Lucknow,Pharmacy,Negative,High,No,In Stock,2,Correct
JioMart,3.1,"Missing items, no explanation provided.",54,Chennai,Pharmacy,Negative,Low,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,3.9,"Delivery was acceptable, but not great.",34,Hyderabad,Grocery,Neutral,High,No,Out of Stock,4,Correct
JioMart,3.9,"Items were delivered, minor packaging issue.",21,Delhi,Food,Neutral,Low,No,Out of Stock,4,Incorrect
Swiggy Instamart,1.7,"Products out of stock, wasn’t informed earlier.",47,Hyderabad,Electronics,Negative,Medium,Yes,Out of Stock,3,Incorrect
Blinkit,3.3,"Order was fine, but app needs improvement.",30,Delhi,Pharmacy,Neutral,Low,Yes,Out of Stock,3,Correct
Blinkit,3.8,Package was left in an unsafe location.,35,Delhi,Grocery,Negative,Medium,Yes,In Stock,2,Correct
Swiggy Instamart,3.9,"Delivery was late, food was cold.",42,Pune,Food,Negative,High,Yes,In Stock,4,Correct
JioMart,3.0,"Order was delayed by hours, no apology given.",34,Lucknow,Food,Negative,Low,No,Out of Stock,2,Correct
Zepto,3.5,"Service was decent, nothing stood out.",39,Jaipur,Electronics,Neutral,Low,No,In Stock,3,Incorrect
Swiggy Instamart,4.4,"Order was correct, driver was professional.",31,Jaipur,Essentials,Positive,Medium,Yes,Out of Stock,3,Correct
JioMart,3.3,"Took forever to deliver, no updates provided.",51,Lucknow,Grocery,Negative,High,Yes,Out of Stock,3,Correct
Blinkit,4.0,"Delivery was fine, communication was okay.",28,Jaipur,Grocery,Neutral,Low,Yes,In Stock,4,Incorrect
JioMart,3.0,"Delivery was okay, but updates were slow.",36,Bangalore,Pharmacy,Neutral,Low,Yes,In Stock,4,Correct
Zepto,2.8,"Delivery was late, and the app didn’t update.",31,Ahmedabad,Grocery,Negative,Medium,Yes,In Stock,4,Correct
Blinkit,3.0,"Food spilled in the bag, completely unacceptable.",52,Jaipur,Grocery,Negative,High,No,In Stock,1,Incorrect
Blinkit,3.9,"Order arrived, but tracking was unreliable.",35,Bangalore,Electronics,Neutral,Medium,Yes,In Stock,4,Incorrect
Zepto,3.6,"Order was cancelled last minute, very annoying.",49,Kolkata,Electronics,Negative,Low,No,In Stock,4,Correct
Blinkit,1.6,Package was left in an unsafe location.,39,Delhi,Food,Negative,Low,Yes,In Stock,3,Incorrect
Zepto,3.8,"Order arrived early, packaging was great.",23,Kolkata,Grocery,Positive,High,Yes,Out of Stock,3,Incorrect
